Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
09/28/20,156.46,3627625,2.11,1.37,1.37,181.05,118.21,154.95,157.71,154.65,88.57
09/25/20,154.35,2743326,2.35,1.55,1.55,178.61,115.27,151.86,155.16,151.75,86.03
09/24/20,152.00,3223323,0.99,0.66,0.66,175.89,111.99,151.62,153.56,150.10,83.20
09/23/20,151.01,2801280,-3.07,-1.99,-1.99,174.75,110.61,153.88,155.20,150.37,82.01
09/22/20,154.08,4334508,4.22,2.82,2.82,178.30,114.90,151.15,154.44,150.93,85.71
09/21/20,149.86,3359988,1.04,0.70,0.70,173.42,109.01,148.69,149.99,146.45,80.62
09/18/20,148.82,3615103,1.21,0.82,0.82,172.21,107.56,147.72,149.52,147.26,79.37
09/17/20,147.61,2391561,-0.38,-0.26,-0.26,170.81,105.87,147.39,148.77,146.55,77.91
09/16/20,147.99,2072672,-1.08,-0.72,-0.72,171.25,106.40,149.34,149.73,147.91,78.37
09/15/20,149.07,2206430,0.63,0.42,0.42,172.50,107.91,148.11,149.84,147.36,79.67
09/14/20,148.44,2707154,0.79,0.54,0.54,171.77,107.03,148.55,150.39,147.84,78.91
09/11/20,147.65,2356353,1.61,1.10,1.10,170.86,105.93,146.86,147.96,146.18,77.96
09/10/20,146.04,2828143,-1.51,-1.02,-1.02,168.99,103.68,147.60,148.34,145.31,76.02
09/09/20,147.55,3279515,3.55,2.47,2.47,170.74,105.79,144.76,148.60,144.76,77.84
09/08/20,144.00,3503165,-3.23,-2.19,-2.19,166.63,100.84,146.68,146.79,143.38,73.56
09/04/20,147.23,4742073,1.20,0.82,0.82,170.37,105.34,146.69,148.55,143.69,77.45
09/03/20,146.03,4135321,-3.81,-2.54,-2.54,168.98,103.67,149.47,149.98,145.41,76.00
09/02/20,149.84,4128168,-0.71,-0.47,-0.47,173.39,108.98,150.50,150.87,148.42,80.60
09/01/20,150.55,3604066,-0.66,-0.44,-0.44,174.21,109.97,150.61,151.77,150.12,81.45
08/31/20,151.21,3025559,0.36,0.24,0.24,174.98,110.89,151.14,151.91,150.32,82.25
08/28/20,150.85,2835579,0.54,0.36,0.36,174.56,110.39,150.31,151.67,149.60,81.81
08/27/20,150.31,3773148,-2.40,-1.57,-1.57,173.94,109.64,152.66,152.75,149.67,81.16
08/26/20,152.71,3061602,-0.14,-0.09,-0.09,176.71,112.98,152.75,153.57,152.09,84.05
08/25/20,152.85,2984390,-0.39,-0.25,-0.25,176.88,113.18,154.15,154.28,152.36,84.22
08/24/20,153.24,4355250,-0.39,-0.25,-0.25,177.33,113.72,154.50,154.62,152.63,84.69
08/21/20,153.63,7061409,1.39,0.91,0.91,177.78,114.27,152.33,155.61,152.13,85.16
08/20/20,152.24,12045970,-1.98,-1.28,-1.28,176.17,112.33,154.93,156.10,151.72,83.49
08/19/20,154.22,40211848,17.32,12.65,12.65,178.46,115.09,148.50,154.69,146.54,85.87
08/18/20,136.90,5756832,-1.34,-0.97,-0.48,158.42,90.93,137.01,137.97,134.67,65.00
08/17/20,138.24,4632287,1.71,1.25,1.25,159.18,91.85,137.98,138.69,137.40,66.61
08/14/20,136.53,3180944,1.72,1.28,1.28,157.21,89.48,135.92,137.00,135.22,64.55
08/13/20,134.81,2324776,0.21,0.16,0.16,155.23,87.09,133.99,134.94,133.61,62.48
08/12/20,134.60,4863281,2.88,2.19,2.19,154.99,86.80,135.11,135.11,132.77,62.23
08/11/20,131.72,3915884,-1.22,-0.92,-0.92,151.67,82.80,133.71,134.59,131.36,58.76
08/10/20,132.94,3002886,1.19,0.90,0.90,153.08,84.49,132.07,134.11,131.25,60.23
08/07/20,131.75,2303110,2.74,2.12,2.12,151.71,82.84,129.24,131.88,129.00,58.79
08/06/20,129.01,1979947,-0.36,-0.28,-0.28,148.55,79.04,129.50,129.93,128.13,55.49
08/05/20,129.37,3692285,-1.08,-0.83,-0.83,148.96,79.54,130.75,131.93,128.66,55.92
08/04/20,130.45,3924491,2.61,2.04,2.04,150.21,81.04,127.93,130.77,127.58,57.23
08/03/20,127.84,3319277,1.96,1.56,1.56,147.20,77.42,126.50,128.24,126.25,54.08
07/31/20,125.88,3268057,1.30,1.04,1.04,144.95,74.70,124.28,125.93,123.79,51.72
07/30/20,124.58,3606500,0.90,0.73,0.73,143.45,72.89,122.33,125.42,121.82,50.15
07/29/20,123.68,2095804,0.39,0.32,0.32,142.41,71.64,123.47,124.48,122.90,49.07
07/28/20,123.29,2337027,0.60,0.49,0.49,141.96,71.10,122.61,124.46,122.12,48.60
07/27/20,122.69,2423733,-1.02,-0.82,-0.82,141.27,70.27,124.25,124.49,122.16,47.87
